ID,Section,Question,Option 1,Option 2,Option 3,Option 4,Ans(1-4),Translation,Explanation,Interval,Ease,Next_Review
1,1,My father usually ( ) home from work at 7:00 p.m.,is coming,comes,come,has come,2,私の父は、ふだんは午後7時に仕事から帰宅する。,習慣的な動作を表す usually に注目。「現在の習慣的な動作や不変の事実は現在時制で表す。本問は習慣的な動作。The earth goes around the sun. 「地球は太陽の周りを回っている」(不変の事実)。▶usually に注目。「ふだんは帰宅が午後7時」という日常的に繰り返す習慣的な動作を述べているので、現在時制の② comes が正解。選択肢 主語 My father が3人称単数なのでcomeは不可。,0,2.5,
2,1,"Mahatma Gandhi, the champion of nonviolence, ( ) in 1869.",has been born,is born,had been born,was born,4,非暴力の擁護者であるマハトマ・ガンジーは、1869年に生まれた。,in 1869 という過去を示す表現に注目。過去の出来事は過去時制で表す。過去を示す表現がヒントになる場合が多い。▶in 1869という過去を示す表現に注目。「1869年に生まれた」という過去の出来事を述べているので、過去時制の④ was born が正解。,0,2.5,
3,1,"Until next summer, the pool ( ) under construction.",was,has been,had been,will be,4,次の夏まで、そのプールは工事中となります。,Until next summer という未来を示す表現に注目。未来の事柄は原則としてwill do で表す。will do 以外でも、現在進行形、be going to do、be about to do などで未来の事柄を表すことができる。▶Until next summer という未来を示す表現に注目。「次の夏まで工事中」という未来の出来事を述べているので、④ will be が正解。,0,2.5,
4,2,Please be quiet. I ( ) on a difficult question now.,work,worked,have worked,am working,4,静かにしてください。私は今難しい問題に取り組んでいるところなのです。,now に注目。現在進行形は、現在ある動作を行っている最中であるという状況に用いる。▶now に注目。「今(now) 取り組んでいる」という現在進行中の動作(＝まだ終わっていない)を述べているので、現在進行形の④ am working が正解。,0,2.5,
5,2,Sandy ( ) in the library when I saw her two hours ago.,was studying,has studied,has been studying,is studying,1,2時間前に私が見かけたとき、サンディーは図書館で勉強していた。,when I saw her two hours ago に注目。過去進行形は、過去のある時点である動作を行っている最中だという状況に用いる。▶「2時間前に見かけたとき勉強していた」という過去のある時点で進行中の動作(＝まだ終わっていなかった)を述べているので、過去進行形の① was studying が正解。,0,2.5,
6,2,"When Ken comes home from school this afternoon, his mother ( ) cooking roast chicken.",will be,would be,has been,had been,1,ケンが今日の午後に学校から戻るころ、彼の母はローストチキンを作っているだろう。,When Ken comes home ... this afternoon に注目。未来進行形は、未来のある時点である動作を行っている最中だと考えられる状況に用いる。▶「今日の午後に学校から戻るころ調理をしているだろう」という未来のある時点で進行中の動作(＝まだ終わっていないだろう)を述べているので、未来進行形の① will be (cooking)が正解。,0,2.5,
7,2,"Are you free tonight? ""I'm sorry, but ( ) dinner with my parents.""",I had,I'm having,I've had,I'd had,2,「今晩ひまですか」「残念ですが、両親と食事をすることになっています」,tonight に注目－これからすることを現在進行形で表す。現在進行形が(これからする)予定・計画を表す場合がある。▶tonight「今晩」の予定を聞かれているが、tonightは時間的にはまだこれからのこと。「今晩食事をする予定だ」から、予定・計画を表す現在進行形の② I'm having が正解。注意 本問のhaveは「･･･を食べる」という意味の動作動詞なので、進行形で使うことができる。,0,2.5,
8,3,Michiko wonders if this small island ( ) to Japan.,is belonging,belongs,is belonged,has been belonged,2,ミチコは、この小さな島は日本に属しているのだろうかと思う。,進行形にできない動詞 belong は状態動詞。進行形にできる動詞は動作動詞であり、原則として状態動詞は進行形にできない。▶belong to A 「Aに属している」は状態動詞なので進行形にできない。よって② belongs が正解。「…している」という日本語にひきずられて現在進行形の① is belonging を選ばないように。,0,2.5,
9,3,She ( ) her sister in appearance but not in character.,resembles,is resembling,resembled,has resembled,1,彼女は外見は姉に似ているが、性格は似ていない。,resemble は状態動詞。進行形にできない動詞。▶resemble 「 に似ている」は状態動詞なので進行形にできない。現在進行形の is resembling を現在形の resembles に訂正する。,0,2.5,
10,4,I never see May and David these days because they ( ) so busy looking for a new house.,have been,were,will have been,had been,1,メイとデビッドは新しい家を探すのにとても忙しいので、私は最近彼らに一度も会っていない。,these days に注目。現在までの完了・結果、経験、継続は現在完了 (have [has] done)で表す。▶ these days「最近」に注目。「最近(会っていないのは)家探しで(ずっと) 忙しいから」 という、過去のある時点から現在までの状態の継続を述べているので、現在完了の① have been 正解。本間では「過去のある時点」は明記されていない。,0,2.5,
11,4,"When I arrived at the classroom, the English exam ( ) already.",has started,to start,had started,starts,3,私が教室に着いたとき、英語のテストはすでに始まっていた。,過去のある時点を表す表現に注目。過去のある時点までの完了・結果、経験、継続は過去完了(had done)で表す。▶When I arrived at the classroom という過去を示す表現と、already に注目。「教室に着いたとき、英語のテストはすでに始まっていた」という過去のある時点までの動作の完了を述べているので、過去完了の③ had started が正解。,0,2.5,
12,5,The professor read my technical report which I ( ) the day before.,have written,will be writing,have been writing,had written,4,教授は私が前日に書いた技術報告書を読んだ。,the day before に注目。大過去 had done。2つの過去の出来事を、実際に起きた順序と逆の順序で述べる場合、時間的に前に起きた出来事を過去完了で表すことがある。この用法は「大過去」と呼ばれる。▶「報告書を読んだ」と、「報告書を書いた」の2つの出来事の順序を考える。the day before「前日」があるので、「書いた」のは「読んだ」よりもさらに前のこと。▶過去完了 had written を入れれば、「報告書を読んだ」時点よりも、「報告書を書いた」時点の方が時間的に前に起きた出来事であることが示される。,0,2.5,
13,5,Paul's yacht ( ) at Hawaii by the end of next March.,has arrived,arrived,will have arrived,used to arrive,3,ポールのヨットは来年3月末にはハワイに到着しているだろう。,by the end of next March: 未来のある時点に注目。未来完了一will have done。未来のある時点までの完了・結果、経験、継続は未来完了 (will have done)で表す。▶by the end of next March という未来を示す表現に注目。「来年3月末までには到着している」という未来のある時点までの動作の完了を述べているので、未来完了の④ will have arrived が正解。,0,2.5,
14,5,There is a new road to the freeway. They just ( ) it yesterday.,have opened,are opening,opened,would open,3,高速道路への新しい道がある。それは昨日開通したばかりだ。,現在完了とともに使うことができない表現。過去の出来事を表す過去時制とは異なり、過去と現在とのつながりを表す現在完了では、過去を示す語句をともに使うことはできない。▶ yesterday という過去を示す語があるので、現在完了の have opened は使えない。過去時制の③ opened が正解。,0,2.5,
15,6,We ( ) Nara and now we are leaving for Kyoto.,have been to,have gone to,went to,had been to,1,奈良にちょうど行ってきたところですが、これから京都へ行きます。,have been to A と have gone to Aの意味の違い。have been to A 「Aに行って(今帰ってきた)ところだ」 / have gone to A 「Aに行ってしまった(今ここにいない)」 「Aに行ったことがある」。▶「奈良にちょうど行ってきた(今帰ってきた)ところ」という文脈から正解を判断する。注意 we are leaving for Kyoto の現在進行形は、(これからする)予定・計画を表している。,0,2.5,
16,7,We are all tired of snow. It ( ) for four weeks now.,has been snowing,snowed,is snowing,will be snowing,1,私たちはみんな雪にうんざりしている。もう4週間降り続いている。,for four weeks now に注目。現在完了進行形 have [has] been doing。過去のある時点から現在までの動作の継続は、原則として現在完了進行形(have [has] been doing)で表す。▶「今日まで4週間(ずっと) 雪が降っている」と現在までの動作の継続を述べているので、現在完了進行形の① has been snowing が正解。,0,2.5,
17,7,Mr. Brown ( ) for nearly thirty minutes when his client arrived.,will have waited,has been waiting,has waited,had been waiting,4,ブラウン氏は、彼の顧客が到着したとき30分近く待っていた。,過去のある時点と期間を表す表現に注目。過去完了進行形一had been doing。過去のある時点までの動作の継続は、原則として過去完了進行形 (had been doing)で表す。▶when his client arrived という過去のある時点を示す表現と、for nearly thirty minutes という期間を示す表現に注目。「顧客が到着したときには(すでに)30分近く待っていた」という過去のある時点までの動作の継続を述べているので、過去完了進行形の④ had been waiting が正解。,0,2.5,
18,7,How long ( ) there by next month?,are you working,will you be working,will you work,will you have been working,4,来月まででそこで働いてどれくらいになりますか。,未来を表す表現(by next month)に注目。未来完了進行形一will have been doing。未来のある時点までの動作の継続は、原則として未来完了進行形(will have been doing)で表す。▶by next month という未来のある時点までを示す表現に注目。how long という期間を表す表現を用いて「来月まででどのくらいの期間働いていることになるか」という未来のある時点までの動作の継続を述べているので、未来完了進行形の④が正解。,0,2.5,
19,7,Mike and Bill ( ) each other since they were children.,know,have known,have been knowing,will have known,2,マイクとビルは子どものころからお互いを知っている。,know は状態動詞。現在完了と現在完了進行形。状態動詞は原則として進行形にできないので、現在までの状態の継続も(現在完了進行形ではなく)現在完了を用いる。▶know 「･･･を知っている」は状態動詞なので、現在完了進行形の③ have been knowing は不可。「子どものころから(ずっと)知っている」という現在までの状態の継続を述べている現在完了の② have known が正解。,0,2.5,
20,8,I'll wait here until you ( ).,come back,will come back,are coming back,will have come back,1,私はあなたが戻るまでここで待っています。,until 節は時を表す副詞節。時を表す副詞節一未来の内容でも現在時制。時・条件の副詞節では、未来の内容でも現在時制を用いる。▶until you ( )「あなたが戻るまで」は時を表す副詞節なので、「これから戻る」という未来の内容でも現在時制を用いる。よって現在時制の① come back が正解。,0,2.5,
21,8,You have to return the book as soon as you ( ) reading it.,are finishing,will have finished,will finish,have finished,4,あなたは、読み終えたらすぐにその本を返さなければいけません。,as soon as 節は時を表す副詞節。時を表す副詞節一未来完了の内容でも現在完了。▶as soon as you ( ) reading it 「読み終えたらすぐに」は時を表す副詞節なので、「これから読み終える」という未来完了の内容でも現在完了を用いる。よって現在完了の④ have finished が正解。,0,2.5,
22,9,Your host family will be waiting for you at the train station when you ( ).,arrive,arrived,will arrive,would arrive,1,あなたが到着するとき、ホストファミリーが駅であなたを待っているだろう。,when 節は副詞節か名詞節か。when 節が副詞節の場合一未来の内容でも現在時制。▶ when you ( )「到着するときに」は時を表す副詞節なので、「これから到着する」という未来の内容でも現在時制を用いる。よって現在時制の① arrive が正解。,0,2.5,
23,9,"Mr. Tanaka is out now, and I don't know when he ( ) in the office.",be back,is back,is being back,will be back,4,田中さんは今外出していて、事務所にいつ戻るかわからない。,when 節は名詞節。when 節が名詞節の場合一未来の内容は未来時制。▶本問の when 節は他動詞 know の目的語になる名詞節。名詞節の場合は、「いつ彼が(これから)事務所に戻るか」という未来の内容は未来時制で表すので④ will be back が正解。,0,2.5,
24,10,The game will be called off if it ( ) tomorrow.,raining,to rain,will rain,rains,4,もし明日雨が降ればその試合は中止されるだろう。,if節の意味に注目。if 節が副詞節の場合―未来の内容でも現在時制。▶if it ( ) tomorrow 「明日雨が降れば」は条件を表す副詞節なので、「明日」という未来の内容でも現在時制を用いる。よって現在時制の④ rains が正解。tomorrow に引きずられて will rain を選ばないように注意。,0,2.5,
25,10,"I'd really love to go to the concert..., but I'm not sure if my mother ( ) OK.",says,will say,saying,to say,2,コンサートに行きたいのだけど、母がいいと言うかわからない。,if節の意味に注目。if節が名詞節の場合一未来の内容は未来時制。▶be not sure if SV 「･･･かどうかわからない」のif節は名詞節。名詞節の場合は「母が(これから)いいと言うかどうか」という未来の内容は未来時制で表すのが正しい。,0,2.5,
26,11,Look at those black clouds. It ( ) rain very soon.,wouldn't,is going to,do,shall not,2,あの黒い雲を見て。今にも雨が降りそうだ。,「雨が降りそうだ」は話し手の予測・判断。未来のことを表す be going to do。▶very soon 「今にも/非常にすぐに」に注目すれば、未来のことを表していることがわかる。「黒い雲があるから雨が降りそうだ」という話し手の予測・判断を表しているから、(2)「〜しそうだ(話し手の予測・判断)」の意味の② is going to が正解。,0,2.5,
